0.15000000E+02 0.29648190E-07 0.29648190E-07 -.22930415E-19
0.15020000E+02 0.29648190E-07 0.29120554E-08 -.10150204E-03
0.15030000E+02 -.22541478E-05 0.28860238E-08 -.59193684E+00
0.15060000E+02 -.71041526E-01 0.28093053E-08 -.58489480E+09
0.15100000E+02 -.75819697E+08 0.27101507E-08 -.66271340E+27
0.15087500E+02 -.40934202E+25 0.27407579E-08 -.19342172E+61
0.15002000E+02 0.29648190E-07 0.29595003E-08 -.10169789E-03
0.15003000E+02 -.19917207E-06 0.29568445E-08 -.46256490E-02
0.15006000E+02 -.56393421E-04 0.29488912E-08 -.37111234E+03
0.15010000E+02 -.48105980E+01 0.29383198E-08 -.27017846E+13
0.15008750E+02 -.16688269E+10 0.29416193E-08 -.32518038E+30
0.15000200E+02 0.29648190E-07 0.29642867E-08 -.10183937E-03
0.15000300E+02 0.67343320E-08 0.29640206E-08 -.42832309E-05
0.15000600E+02 -.67147119E-07 0.29632224E-08 -.52569851E-03
0.15001000E+02 -.89530660E-06 0.29621585E-08 -.93745390E-01
0.15000875E+02 -.60062250E-05 0.29624909E-08 -.42154818E+01
0.15000020E+02 0.29648190E-07 0.29647658E-08 -.10165026E-03
0.15000030E+02 0.27361059E-07 0.29647391E-08 -.86509570E-04
0.15000060E+02 0.10118518E-07 0.29646593E-08 -.10941270E-04
0.15000100E+02 0.25245720E-07 0.29645528E-08 -.73345550E-04
0.15000087E+02 0.24922919E-07 0.29645861E-08 -.71449321E-04
0.15000010E+02 0.29648190E-07 0.29647912E-08 -.10160529E-03
0.15000016E+02 0.28454613E-07 0.29647773E-08 -.93563867E-04
0.15000031E+02 0.19011950E-07 0.29647356E-08 -.41206157E-04
0.15000052E+02 0.26262095E-07 0.29646800E-08 -.79618065E-04
0.15000046E+02 0.26513799E-07 0.29646974E-08 -.81076859E-04
0.15000007E+02 0.29648190E-07 0.29648007E-08 -.10172540E-03
0.15000010E+02 0.28860266E-07 0.29647915E-08 -.96313337E-04
0.15000021E+02 0.22517806E-07 0.29647640E-08 -.58146484E-04
0.15000034E+02 0.26894637E-07 0.29647274E-08 -.83453049E-04
0.15000030E+02 0.27334533E-07 0.29647388E-08 -.86392378E-04
0.15000005E+02 0.29648190E-07 0.29648048E-08 -.10165621E-03
0.15000008E+02 0.29039064E-07 0.29647977E-08 -.97534250E-04
0.15000016E+02 0.24094741E-07 0.29647765E-08 -.66791402E-04
0.15000027E+02 0.27308496E-07 0.29647481E-08 -.85868527E-04
0.15000023E+02 0.27761472E-07 0.29647570E-08 -.88986178E-04
0.15000005E+02 0.29648190E-07 0.29648069E-08 -.10179833E-03
0.15000007E+02 0.29126003E-07 0.29648008E-08 -.98057192E-04
0.15000014E+02 0.24876796E-07 0.29647826E-08 -.71369229E-04
0.15000023E+02 0.27532754E-07 0.29647583E-08 -.87686600E-04
0.15000020E+02 0.27987070E-07 0.29647659E-08 -.90601642E-04
0.15000023E+02 0.27808652E-07 0.29647583E-08 -.89535496E-04
0.15000027E+02 0.27437796E-07 0.29647473E-08 -.87027282E-04
0.15000029E+02 0.27264055E-07 0.29647418E-08 -.85941111E-04
0.15000035E+02 0.23494450E-07 0.29647252E-08 -.63525794E-04
0.15000044E+02 0.26589505E-07 0.29647032E-08 -.81566448E-04
0.15000041E+02 0.26432850E-07 0.29647101E-08 -.80673471E-04
0.15000044E+02 0.26150751E-07 0.29647032E-08 -.78885006E-04
0.15000048E+02 0.25804043E-07 0.29646915E-08 -.76903699E-04
0.15000050E+02 0.25640485E-07 0.29646856E-08 -.75889010E-04
0.15000057E+02 0.22108446E-07 0.29646681E-08 -.56214757E-04
0.15000065E+02 0.25001171E-07 0.29646447E-08 -.72123337E-04
0.15000063E+02 0.24860150E-07 0.29646520E-08 -.71179480E-04
0.15000065E+02 0.24597508E-07 0.29646447E-08 -.69754684E-04
0.15000070E+02 0.24271102E-07 0.29646322E-08 -.67726265E-04
0.15000073E+02 0.24118577E-07 0.29646260E-08 -.67088489E-04
0.15000080E+02 0.20798205E-07 0.29646073E-08 -.49484883E-04
0.15000089E+02 0.23537162E-07 0.29645824E-08 -.63680106E-04
0.15000086E+02 0.23386939E-07 0.29645902E-08 -.62907782E-04
0.15000089E+02 0.23136703E-07 0.29645824E-08 -.61518517E-04
0.15000094E+02 0.22831257E-07 0.29645692E-08 -.59883132E-04
0.15000096E+02 0.22687669E-07 0.29645626E-08 -.59113572E-04
0.15000104E+02 0.19579535E-07 0.29645428E-08 -.43716222E-04
0.15000114E+02 0.22129083E-07 0.29645164E-08 -.56239927E-04
0.15000111E+02 0.22001764E-07 0.29645246E-08 -.55559862E-04
0.15000114E+02 0.21769278E-07 0.29645164E-08 -.54375804E-04
0.15000119E+02 0.21482275E-07 0.29645023E-08 -.52947937E-04
0.15000122E+02 0.21347253E-07 0.29644953E-08 -.52262042E-04
0.15000130E+02 0.18426105E-07 0.29644742E-08 -.38616306E-04
0.15000140E+02 0.20822982E-07 0.29644461E-08 -.49658725E-04
0.15000137E+02 0.20703037E-07 0.29644549E-08 -.49068525E-04
0.15000140E+02 0.20484738E-07 0.29644461E-08 -.48019588E-04
0.15000146E+02 0.20215302E-07 0.29644312E-08 -.46747081E-04
0.15000149E+02 0.20088616E-07 0.29644237E-08 -.46173120E-04
0.15000157E+02 0.17345798E-07 0.29644013E-08 -.34107104E-04
0.15000168E+02 0.19598465E-07 0.29643715E-08 -.43927366E-04
0.15000165E+02 0.19483663E-07 0.29643808E-08 -.43322441E-04
